ID,Rank,Rarity_Score,Attributes-Scores,Background-Scores,Clothes-Scores,Earring-Scores,Eyes-Scores,Fur-Scores,Hat-Scores,Mouth-Scores
9867,2102,215.5979267648908,5,7,41,67,25,15,38,14
9459,2103,215.52998406934807,1,8,61,1,20,21,51,49
1964,2104,215.4800895708257,1,8,42,1,5,12,112,30
3429,2105,215.4627204064585,1,7,29,1,13,7,43,109
6715,2106,215.44571299107653,5,7,69,11,20,7,63,30
936,2107,215.40393020234333,5,7,48,12,18,25,93,4
7500,2108,215.39623320491663,5,7,48,12,20,8,51,61
4466,2109,215.3465808944142,1,8,24,1,18,25,129,6
3272,2110,215.3196265516814,1,8,29,1,42,21,23,86
6985,2111,215.24184915622072,5,8,61,12,23,25,73,6
9888,2112,215.2412410943894,1,8,42,1,20,7,26,106
4565,2113,215.2393242877513,1,8,35,1,41,7,83,36
2691,2114,215.23434319762737,5,7,69,12,14,20,44,41
718,2115,215.23396902159428,5,7,42,11,30,7,76,33
8405,2116,215.21913615915503,1,8,42,1,28,15,32,84
5513,2117,215.1594389161837,5,7,53,21,25,20,76,4
4747,2118,215.15897485141738,5,8,61,11,5,7,31,84
8245,2119,215.14548811656647,5,7,65,11,23,46,51,4
7218,2120,215.1369399578995,5,8,29,67,20,7,39,36
8513,2121,215.1237038575952,5,7,74,67,14,7,32,6
3169,2122,214.99233308482064,5,8,42,11,28,7,63,48
732,2123,214.97642600134455,5,7,41,45,20,20,51,22
2780,2124,214.97438921971937,1,8,46,1,45,8,54,48
1255,2125,214.94228758590452,5,8,48,11,5,19,54,61
7594,2126,214.92502782560663,1,8,42,1,28,15,76,39
5443,2127,214.9089556062603,5,7,46,22,13,19,23,75
8977,2128,214.83796095217963,3,8,5,1,5,129,53,6
9568,2129,214.7217517983955,1,7,5,11,24,7,95,61
1891,2130,214.64141532953084,1,7,49,1,28,19,44,61
3288,2131,214.64140445160285,1,8,56,1,30,19,55,42
5238,2132,214.59783783428327,5,8,97,11,20,12,44,14
2856,2133,214.59033645096778,1,8,35,1,92,12,39,22
8022,2134,214.54866864828398,5,8,29,12,23,20,32,82
9262,2135,214.52711732518466,5,8,35,45,14,37,54,14
8905,2136,214.45484832708343,5,7,41,45,5,37,66,4
7278,2137,214.40491173244416,1,7,44,1,24,15,42,75
3107,2138,214.3933870076542,3,8,84,1,5,20,4,86
3475,2139,214.37211613438004,5,8,41,21,28,15,63,30
1397,2140,214.36547776368542,1,7,74,1,23,19,63,22
5798,2141,214.3499352680022,1,8,44,1,5,57,90,4
4257,2142,214.31069968468617,1,7,69,1,18,8,73,33
9098,2143,214.30552908928985,3,8,5,1,28,129,30,6
9128,2144,214.29633545365377,5,7,105,12,45,7,26,4
7732,2145,214.27253270036485,1,7,39,1,25,12,42,82
8330,2146,214.22916291049162,1,7,39,1,42,21,95,4
1498,2147,214.19335063055237,1,8,84,1,14,7,90,6
7464,2148,214.14682867627448,3,7,5,1,5,37,23,128
9065,2149,214.06214164397613,5,8,35,12,20,7,63,61
1370,2150,214.01857483650926,5,8,49,22,20,8,17,82
1580,2151,213.95459234395648,5,7,70,67,14,15,28,4
5762,2152,213.9383355934268,3,7,29,1,144,7,4,14
5784,2153,213.93028269663222,1,8,42,1,28,8,23,99
7686,2154,213.89061586383727,1,7,48,1,28,20,43,61
2246,2155,213.86975058911293,3,7,125,1,13,21,4,36
6558,2156,213.86070633426692,3,8,45,1,18,33,4,99
3152,2157,213.8596782819269,3,8,5,1,11,46,129,6
4969,2158,213.84503164420346,5,8,39,11,20,8,84,36
7457,2159,213.82182476504167,1,8,49,11,11,20,4,106
8959,2160,213.75749923784653,1,7,49,1,32,21,95,4
644,2161,213.73191370069196,1,8,44,1,23,8,112,14
8576,2162,213.72883998716534,1,8,41,1,92,19,28,19
3886,2163,213.72413835381317,5,7,48,11,18,7,28,86
3362,2164,213.67613905422965,1,8,74,1,13,7,93,14
4388,2165,213.6057242974202,1,7,74,1,66,12,26,22
630,2166,213.5861243566945,1,7,71,1,66,8,42,14
6176,2167,213.54194540188226,1,7,65,1,20,20,54,41
9351,2168,213.47644486220378,39,7,5,1,11,8,4,135
1522,2169,213.4626228259063,1,7,105,22,30,7,4,33
6603,2170,213.46158060449997,1,8,44,1,45,21,76,14
9047,2171,213.43299585385768,1,7,105,1,5,21,63,6
4181,2172,213.37105425041938,5,8,105,11,5,37,32,6
4738,2173,213.35929036969995,1,8,5,12,92,25,28,39
7474,2174,213.35284862710748,1,7,5,11,11,7,153,14
6728,2175,213.34023796830064,5,7,43,12,11,7,26,99
2920,2176,213.33484605582066,5,7,78,45,14,25,23,14
4505,2177,213.28398579245504,1,8,29,1,24,20,28,99
5818,2178,213.26825463071532,3,7,5,1,13,21,153,6
2712,2179,213.26615634910095,5,7,39,11,28,15,63,41
6139,2180,213.24740142097815,1,8,42,1,28,19,63,48
9621,2181,213.22386937830709,1,7,5,45,18,7,44,82
2244,2182,213.2029094255023,3,8,42,1,13,33,4,106
6030,2183,213.20131242221188,1,7,35,1,13,8,138,6
8393,2184,213.19183591292236,1,7,39,1,20,7,28,106
9785,2185,213.1755622963056,5,7,69,11,20,7,76,14
3809,2186,213.13298466471434,5,8,69,22,23,46,31,6
6019,2187,213.10039059797265,1,8,42,1,24,7,28,99
8857,2188,213.08834486799532,1,7,95,1,20,20,28,36
6004,2189,213.032832068461,1,8,48,1,5,12,95,39
9829,2190,212.9948314619055,1,7,35,1,20,12,95,37
4055,2191,212.97148059082264,5,8,61,12,28,7,28,61
4231,2192,212.9418937596192,39,8,5,1,28,19,4,106
6430,2193,212.90247133028646,1,8,24,1,92,37,42,4
1691,2194,212.8424648329486,5,7,24,21,5,64,34,49
661,2195,212.83210638973532,1,8,44,1,37,21,93,4
416,2196,212.82018576307172,5,8,43,67,20,7,38,22
5016,2197,212.76808318245446,5,7,69,11,13,15,83,6
9417,2198,212.7011765385963,1,7,42,1,45,7,44,61
9249,2199,212.6628381662139,1,7,24,11,28,129,4,4
4715,2200,212.63703656926344,1,7,46,45,30,57,4,19
374,2201,212.61016351151895,5,8,43,45,20,12,63,14
3339,2202,212.6003924774279,1,7,71,1,20,20,54,33
8156,2203,212.59224092857326,1,7,53,1,25,46,53,22
6875,2204,212.51185478351897,5,8,48,45,41,7,17,39
9333,2205,212.50655606342974,1,8,69,1,42,21,63,4
980,2206,212.46997877622314,1,8,70,1,14,15,95,4
1165,2207,212.41341057384605,1,7,48,1,41,19,54,36
676,2208,212.41193359097645,1,7,56,1,5,7,32,99
5933,2209,212.406103338779,1,8,84,1,18,15,32,49
6857,2210,212.39080146777027,1,8,35,1,42,21,95,6
687,2211,212.3546213087076,1,7,48,1,5,15,93,37
3007,2212,212.32299191123127,1,8,46,1,14,12,44,82
9920,2213,212.31671656155947,3,8,147,1,5,7,4,33
3164,2214,212.3118380655523,1,8,69,1,14,19,93,4
5015,2215,212.29040916587277,1,7,45,1,23,15,112,4
6581,2216,212.2603631747793,1,7,95,1,24,8,66,6
9964,2217,212.20119934133808,1,8,35,1,41,12,28,82
6477,2218,212.18626310839903,1,8,29,1,5,21,129,14
166,2219,212.17696384252548,5,8,29,11,23,19,53,61
6189,2220,212.14495210199507,1,7,69,1,45,7,39,39
3733,2221,212.1344777299614,1,7,5,12,28,7,42,106
3207,2222,212.11848255852397,1,8,46,1,30,7,112,4
8782,2223,212.11564493301523,3,7,5,1,5,20,129,37
5404,2224,212.112952238249,5,8,39,45,14,7,31,61
4238,2225,212.08058332051615,3,7,5,1,14,20,30,128
1356,2226,212.06529524856765,5,8,95,11,11,20,55,4
4802,2227,212.06453186420498,5,8,45,11,66,7,63,4
1670,2228,212.0525761943961,1,8,70,1,18,8,66,36
2917,2229,212.00016489929243,5,8,35,11,14,8,30,99
3908,2230,211.95755880506928,1,8,84,1,13,33,63,6
7013,2231,211.92351957431418,1,7,46,1,20,7,112,14
9820,2232,211.90800038086167,3,8,69,1,20,21,4,82
6551,2233,211.89658831088022,1,7,44,1,28,57,28,42
2599,2234,211.88921609415473,5,7,41,67,25,19,30,14
6748,2235,211.85921267317374,1,7,61,1,18,7,90,22
3446,2236,211.8394297139906,5,8,35,12,28,24,83,14
929,2237,211.821936132321,3,7,105,1,25,57,4,6
7817,2238,211.7995762994074,1,8,43,1,30,8,112,6
5965,2239,211.79475361303366,5,7,42,12,13,57,39,33
8036,2240,211.78506191495035,3,7,5,1,30,20,32,109
2982,2241,211.74524817201643,3,8,61,1,41,7,4,84
6270,2242,211.70741285150433,5,8,105,12,25,24,26,4
594,2243,211.7005477625829,5,8,42,12,13,64,51,14
2419,2244,211.68622849080487,1,8,74,1,41,25,53,6
5022,2245,211.68557645148698,5,7,78,11,23,15,63,6
9392,2246,211.66377008154535,1,8,84,1,20,15,31,48
9035,2247,211.60631692360784,3,8,5,1,5,8,43,135
7067,2248,211.60321670469918,5,7,35,21,24,20,76,19
4028,2249,211.5924161386805,5,8,74,45,14,25,32,6
6576,2250,211.4569997978969,3,8,46,1,28,8,4,109
7741,2251,211.41810836507423,1,7,95,1,5,8,76,14
5058,2252,211.40476075399806,1,7,70,1,20,7,53,48
8347,2253,211.3957293116848,1,7,61,1,41,7,51,39
1303,2254,211.37634512996792,1,7,71,1,11,19,90,6
2988,2255,211.3462497932188,1,8,56,1,42,19,76,4
3386,2256,211.31852388101112,5,8,42,12,32,20,42,48
5969,2257,211.2514983991894,5,7,29,11,18,37,39,61
3724,2258,211.19710036510043,1,8,61,1,28,12,63,33
7557,2259,211.1763700042668,5,7,97,11,18,7,44,19
9834,2260,211.15586863540057,5,7,65,22,11,20,73,4
4516,2261,211.12514432651756,1,7,56,1,11,64,53,14
9371,2262,211.11660747772896,1,7,5,12,144,8,26,4
3940,2263,211.10955847425444,1,8,39,1,28,8,17,106
3199,2264,211.0868477259563,5,7,29,21,11,20,84,30
1669,2265,211.07615020722517,5,7,29,12,45,7,54,48
1083,2266,211.0408470131339,5,7,42,22,18,33,76,4
454,2267,210.98276040694614,5,8,105,11,37,7,31,4
3211,2268,210.97628231243752,5,8,61,12,5,20,84,14
1268,2269,210.8766636587396,1,7,97,1,5,7,66,22
4144,2270,210.80569946231975,3,8,70,1,13,25,4,84
4539,2271,210.78266955542995,1,8,29,11,20,129,4,4
7381,2272,210.76302557222857,1,8,29,1,18,7,129,14
9052,2273,210.7332626382588,1,7,46,67,14,64,4,4
8599,2274,210.72420649568846,3,7,61,1,5,19,4,106
4646,2275,210.71666892261015,1,7,56,1,28,46,30,37
8707,2276,210.67851992524533,3,7,5,1,5,129,17,39
7635,2277,210.67589207473304,3,8,35,1,13,15,4,128
2126,2278,210.67165368886472,1,8,61,1,18,19,76,22
7102,2279,210.65420444916168,1,8,46,67,24,19,4,37
2725,2280,210.63007176858872,3,8,5,1,11,15,28,135
3977,2281,210.61360445062562,5,8,46,21,28,20,38,42
5409,2282,210.5937202600666,1,8,29,1,14,19,93,42
3382,2283,210.56938963736772,5,7,69,11,11,21,44,39
4183,2284,210.5457151150152,5,7,29,12,20,8,112,14
9939,2285,210.52034274409974,5,7,84,21,20,19,44,6
1293,2286,210.50977497540083,5,7,44,67,45,7,28,4
7334,2287,210.50863769012685,1,8,35,1,92,12,53,4
2430,2288,210.50572732946227,1,7,69,1,11,7,28,82
3685,2289,210.49730429021648,5,8,48,22,11,33,42,37
6410,2290,210.44343178780417,3,8,39,1,18,129,4,4
4044,2291,210.40089936712405,1,8,42,1,5,21,43,86
5700,2292,210.37428024667975,1,7,78,1,32,7,76,4
7598,2293,210.37097620683696,1,8,29,1,14,37,112,4
913,2294,210.33265507496188,5,8,61,22,28,15,30,37
2557,2295,210.324203937544,1,8,95,1,23,8,38,33
8818,2296,210.27567119352483,1,7,42,1,5,7,138,4
2063,2297,210.27458312489426,1,8,147,11,18,12,4,6
6738,2298,210.23210600467814,1,7,74,1,37,8,30,48
4554,2299,210.21209239819171,1,7,69,1,20,20,54,33
5317,2300,210.16660273308722,1,7,46,1,42,12,76,19
3255,2301,210.14773127371274,3,7,70,1,13,33,4,75
1452,2302,210.14736530582726,1,8,46,1,20,24,30,75
1957,2303,210.11516935916913,1,8,29,1,5,33,30,99
2291,2304,210.0643968810401,5,7,46,67,5,46,26,4
9923,2305,210.01988474740622,1,8,97,1,5,8,73,14
5883,2306,209.99676692438723,5,7,35,12,20,12,73,42
5321,2307,209.9689566654084,5,8,49,21,13,46,17,48
5177,2308,209.9631625367158,1,7,125,1,20,20,26,6
3778,2309,209.92197253745513,3,7,125,1,5,24,4,36
2987,2310,209.8780793798539,1,8,44,1,66,20,53,14
1845,2311,209.8719616917715,3,7,5,11,5,7,4,163
3111,2312,209.8100759309421,5,7,42,45,18,20,32,37
2298,2313,209.8045705386007,1,7,125,1,5,7,23,36
3604,2314,209.8023831977875,3,7,156,1,5,7,4,22
6031,2315,209.77802780768621,5,8,56,22,18,21,55,22
8643,2316,209.77760495811498,1,8,42,1,13,37,55,49
9562,2317,209.7766217224656,1,8,78,1,28,15,34,41
8501,2318,209.71747481343388,5,8,53,21,14,7,95,4
4644,2319,209.6833862486075,5,7,42,22,13,20,83,14
863,2320,209.66983244857764,5,7,46,11,37,7,51,42
8126,2321,209.66532443522516,1,7,69,1,45,25,44,14
