ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores
145,Hash Three Points #145,273,106.26876499912409,1,1,16,46,1,1,16,3,1,14,1
627,Hash Three Points #627,274,106.18475683941432,1,1,17,26,1,17,17,2,5,15,1
796,Hash Three Points #796,275,106.07381650482954,1,16,7,22,1,13,16,3,1,20,1
489,Hash Three Points #489,276,106.04786868200236,1,1,15,24,3,22,17,3,1,13,2
773,Hash Three Points #773,277,106.01051802619278,1,1,17,24,1,17,17,3,5,15,1
247,Hash Three Points #247,278,105.95250643952983,1,1,17,30,3,14,14,3,5,13,2
241,Hash Three Points #241,279,105.87403444994106,1,1,16,30,1,14,16,2,5,16,2
200,Hash Three Points #200,280,105.80131594142784,1,1,15,30,3,14,17,2,5,14,2
939,Hash Three Points #939,281,105.79432943345373,1,1,17,26,1,15,16,2,5,16,2
315,Hash Three Points #315,282,105.75053378263756,1,1,15,31,1,13,16,3,1,18,1
893,Hash Three Points #893,283,105.71121861872578,1,1,18,26,1,22,16,2,1,13,1
643,Hash Three Points #643,284,105.64262639562415,1,1,14,33,3,14,14,3,5,13,2
177,Hash Three Points #177,285,105.55496898892338,1,1,16,24,1,15,17,2,5,17,1
341,Hash Three Points #341,286,105.52730118397606,1,16,15,33,1,1,16,3,1,13,1
625,Hash Three Points #625,287,105.52126152599482,1,1,16,26,1,14,16,3,5,17,2
891,Hash Three Points #891,288,105.44934536277452,1,1,14,26,3,22,16,3,1,14,2
579,Hash Three Points #579,289,105.38872344669723,1,1,16,26,1,15,16,2,1,20,1
27,Hash Three Points #27,290,105.37919496166874,1,1,17,42,3,1,16,2,1,15,2
511,Hash Three Points #511,291,105.35413121705861,1,1,14,26,3,17,16,2,5,17,1
942,Hash Three Points #942,292,105.3055788046677,1,1,15,24,3,14,17,2,5,18,2
848,Hash Three Points #848,293,105.22000989661721,1,1,16,26,1,22,14,2,1,16,1
820,Hash Three Points #820,294,105.21477851032716,1,1,17,30,1,13,17,3,1,16,2
1016,Hash Three Points #1016,295,105.07746135071305,1,1,18,24,1,17,17,3,1,15,1
112,Hash Three Points #112,296,105.07265207294591,1,1,15,30,1,17,13,3,1,17,2
207,Hash Three Points #207,297,105.05626992838691,1,1,15,27,1,14,17,3,5,16,1
290,Hash Three Points #290,298,105.05051127310828,1,1,17,33,1,15,14,3,1,14,1
385,Hash Three Points #385,299,105.01063978554663,1,1,16,26,1,17,16,3,1,17,2
262,Hash Three Points #262,300,104.98499214857878,1,1,17,24,1,17,16,3,5,15,2
836,Hash Three Points #836,301,104.98105501367473,1,1,14,46,3,1,14,2,1,17,1
745,Hash Three Points #745,302,104.96301629721034,1,1,15,27,1,14,14,3,5,18,1
477,Hash Three Points #477,303,104.95065878687413,1,1,16,24,1,15,17,3,5,15,2
557,Hash Three Points #557,304,104.90802079889363,1,1,17,24,1,17,17,2,5,15,1
584,Hash Three Points #584,305,104.87577397182301,1,1,15,24,1,22,16,2,1,17,2
514,Hash Three Points #514,306,104.82990900385886,1,1,16,24,1,22,17,2,1,15,2
