ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores,X Movement-Scores,Y Movement-Scores
754,Hash Three Points #754,1008,124.01444198394377,1,16,16,22,1,1,16,2,1,16,2,13,12
672,Hash Three Points #672,1009,124.00591972954116,1,16,17,22,1,1,16,2,1,15,2,13,12
716,Hash Three Points #716,1010,122.85716494257305,1,16,15,22,1,1,17,3,1,14,1,13,12
135,Hash Three Points #135,1011,122.69138229567015,1,16,15,22,3,1,17,2,1,13,1,13,12
977,Hash Three Points #977,1012,121.60890240722013,1,16,17,22,1,1,13,2,1,16,1,13,12
388,Hash Three Points #388,1013,120.9463621988936,1,16,14,22,1,1,14,3,1,16,1,13,12
283,Hash Three Points #283,1014,120.83132287637007,1,16,14,22,1,1,17,3,1,13,2,13,12
991,Hash Three Points #991,1015,120.32974854778344,1,16,17,17,1,1,17,3,1,15,1,13,12
817,Hash Three Points #817,1016,119.96154075985847,1,16,14,22,1,1,17,2,1,14,1,13,12
570,Hash Three Points #570,1017,119.8387863141147,1,16,15,22,1,1,13,3,1,14,2,13,12
353,Hash Three Points #353,1018,118.84741901753945,1,16,14,22,1,1,13,2,1,16,2,13,12
375,Hash Three Points #375,1019,118.6698335125573,1,16,14,22,1,1,14,2,1,15,2,13,12
458,Hash Three Points #458,1020,118.53023178276318,1,16,14,22,1,1,13,3,1,14,1,13,12
940,Hash Three Points #940,1021,117.29272845068525,1,16,15,22,1,1,13,2,1,13,2,13,12
271,Hash Three Points #271,1022,115.01209947796937,1,16,7,22,1,1,16,2,1,16,1,13,12
944,Hash Three Points #944,1023,114.68186576969129,1,16,7,22,1,1,13,3,1,17,1,13,12
451,Hash Three Points #451,1024,114.57305834351227,1,16,7,22,3,1,17,2,1,13,1,13,12
