ID,Name,Rank,Rarity_Score,Accessory-Scores,Attributes-Scores,Background-Scores,Clothes-Scores,Eyes-Scores,Head-Scores,Legendary-Scores,Mouth-Scores,Skin-Scores,Tattoo-Scores
906,SadPython #906,306,136.4514335786914,51,2,5,22,8,20,,16,8,
1480,SadPython #1480,307,136.25670538385182,27,2,5,45,11,22,,13,8,
1477,SadPython #1477,308,136.06723994986987,43,2,5,22,9,22,,16,12,
2142,SadPython #2142,309,136.0046866177301,65,2,4,32,9,,,13,7,
2573,SadPython #2573,310,135.96498749697508,51,2,4,18,8,27,,15,8,
1363,SadPython #1363,311,135.917938471512,41,2,5,18,10,26,,17,14,
786,SadPython #786,312,135.6232328629184,41,2,4,18,10,35,,12,8,
1155,SadPython #1155,313,135.28203360070543,41,2,4,32,19,,,20,12,
2838,SadPython #2838,314,135.05454640888811,36,2,4,13,12,,,12,14,38
847,SadPython #847,315,134.97655985319028,,2,4,22,9,32,,13,10,38
2868,SadPython #2868,316,134.9619299640074,48,2,4,18,16,22,,13,8,
624,SadPython #624,317,134.8850764250916,27,2,4,22,10,41,,17,8,
2793,SadPython #2793,318,134.78418762088975,45,2,4,45,8,,,19,8,
1841,SadPython #1841,319,134.4982993233975,51,2,5,13,8,30,,14,9,
1349,SadPython #1349,320,134.47196114038587,,8,5,76,19,,,11,12,
2230,SadPython #2230,321,134.36021470062204,51,2,4,19,13,22,,11,8,
389,SadPython #389,322,133.99226539809015,57,2,4,11,10,22,,12,12,
896,SadPython #896,323,133.97105404759088,,2,5,22,9,35,,12,8,38
3030,SadPython #3030,324,133.1858021051108,45,2,5,18,11,27,,12,9,
1373,SadPython #1373,325,133.1408518826711,65,2,5,19,8,,,20,10,
2237,SadPython #2237,326,132.93472499885544,20,2,4,22,8,51,,12,10,
167,SadPython #167,327,132.93324306868544,65,2,5,21,13,,,11,12,
3252,SadPython #3252,328,132.46364110214427,27,2,5,22,19,30,,17,7,
3295,SadPython #3295,329,132.2081302564712,41,2,5,22,8,27,,15,8,
1361,SadPython #1361,330,132.1691267531429,43,2,4,12,12,30,,16,8,
3213,SadPython #3213,331,132.14203156582195,,2,5,15,19,65,,14,9,
2880,SadPython #2880,332,132.11101248333455,51,2,5,24,9,,,31,7,
1267,SadPython #1267,333,132.07186055602241,45,2,5,12,8,35,,13,8,
2889,SadPython #2889,334,132.0456827725245,27,2,5,45,9,20,,12,8,
2688,SadPython #2688,335,132.0086124566321,70,2,4,19,8,,,13,12,
2246,SadPython #2246,336,131.99407114624506,,2,4,45,9,20,,15,7,26
2622,SadPython #2622,337,131.9089671279402,,2,4,22,9,65,,13,12,
58,SadPython #58,338,131.78971944145616,,2,5,22,16,57,,12,14,
337,SadPython #337,339,131.1102050580998,43,2,5,48,11,,,11,8,
2820,SadPython #2820,340,131.02669508852995,41,2,5,22,8,27,,12,9,
2698,SadPython #2698,341,130.97763720150817,29,2,5,54,9,,,20,9,
