ID,Description,Name,Rank,Rarity_Score,Animal,Attributes,Background,Body,Clothes,Expression,Eyewear,Headwear
1443,Animal #4969,"first to speak,",152,274.4848208891,Horse,7,Hell,Brown,Polo ranch,Unsure,Glasses,Beret
1085,Animal #9286,remaining there for,153,272.7989485503,Horse,6,Camo,Grey,Repressed,Greed,Lolita,None
1794,Animal #6991,breath. Three days,154,271.2684371645,Horse,6,Bright,Green,Dealer,Eager,None,Headphones
1830,Animal #7961,"a warm, rich,",155,270.9764025645,Horse,6,Woodland,Grey,Polo ranch,Kneiving,None,Cap
1677,Animal #3284,in between times.,156,268.2805879098,Horse,7,Flesh,Brown glam,Beatnik,Shock,Sunglasses,Fisherman
1203,Animal #8797,the admirable care,157,267.1551346523,Horse,7,Wall,Brown glam,Summer,Shock,Cobain,Betty
1703,Animal #5886,they confessed that,158,266.8689994761,Horse,6,Flesh,Brown,Repressed,Eager,None,Fisherman
372,Animal #372,of the produce,159,265.4855155877,Pig,5,Woodland,Robot,Jobs,Zombie,None,None
687,Animal #687,his own kind.,160,265.3095919185,Pig,6,Wall,Brown,Doctor,Zombie,None,Zeldman
1575,Animal #7061,they had had,161,264.8462221585,Horse,7,Bright,Grey,Polo ranch,Happy,Lolita,Bowler
244,Animal #244,animals were now,162,263.8746127421,Pig,7,Rave,Ghost,Lumberjack,Vampire,Warhol,Fisherman
1026,Animal #3604,themselves in agreement,163,262.5674580711,Horse,7,Purple,Orange,Polo ranch,Greed,Glasses,Betty
1911,Animal #1148,and more easily,164,261.9695583738,Horse,7,Virtual,Brown,Eddie,Unsure,Sunglasses,Beret
1942,Animal #8959,never heard mention,165,261.6445712118,Horse,6,Death,Grey glam,Cobain,Cigarette,None,Betty
1573,Animal #9579,half a dozen,166,261.0983110935,Horse,7,Sea,Brown glam,Banker,Happy,Glasses,Beret
1125,Animal #8457,pink medicine which,167,260.6088493764,Horse,7,Bright,Pink,Polo ranch,Beard,Glasses,Britpop
1798,Animal #3271,was useless for,168,260.5623089203,Horse,7,Wall,Orange,Eddie,Unsure,Sunglasses,Fisherman
1854,Animal #1231,and his four,169,259.2228580196,Horse,6,Wall,Pink,Repressed,Cigarette,None,Veronica
1772,Animal #1264,their wits. After,170,257.8565325672,Horse,6,Virtual,Brown glam,Beatnik,Yelling,None,Elvis
1946,Animal #1452,"the pool, the",171,257.5026799549,Horse,6,Bright,Grey,Repressed,Beard,None,Betty
1775,Animal #4666,to live in,172,255.8371796224,Horse,6,Purple,Grey,Eddie,Happy,None,Police
993,Animal #993,Animalism. Several nights,173,255.410382176,Pig,6,Bright,Green,Police,Zombie,None,Zeldman
1284,Animal #1694,"some time past,",174,255.1769589697,Horse,7,Death,Grey,Eddie,Shock,Glasses,Bowler
1646,Animal #6626,timber to Mr.,175,254.1090705464,Horse,6,Rave,Grey,Repressed,Moaning,None,Veronica
1767,Animal #4449,"on, if more",176,253.5026554025,Horse,7,Bright,Robot,Repressed,Moaning,Glasses,Britpop
1351,Animal #8640,But a moment,177,252.6616146574,Horse,6,Heaven,Grey,Mcqueen,Shifty,None,Beret
1622,Animal #9153,that things never,178,252.0795632241,Horse,5,Purple,Brown glam,None,Menace,None,Elvis
1819,Animal #4193,winter would be,179,251.4443913531,Horse,6,Graf,Grey glam,Cobain,Cigarette,None,Veronica
1362,Animal #8605,stir her stout,180,250.5512066262,Horse,7,Sea,Grey,Military,Overdosed,Monocle,Police
863,Animal #863,have continued singing,181,250.0537728392,Pig,6,Graf,Robot,Summer,Zombie,None,Artist
878,Animal #878,"bedroom, and let",182,248.1294497097,Pig,6,Wall,Ghost,Astronaut,Considered,None,Artist
382,Animal #382,Man is the,183,247.7748593718,Pig,7,Stars,Pink,Winter,Overdosed,Patch,Police
974,Animal #974,he was arguing,184,247.7706139327,Pig,6,Death,Pink,Astronaut,Overdosed,None,Veronica
1892,Animal #8973,letter B. They,185,247.2397408438,Horse,7,Wall,Grey,Eddie,Happy,Sunglasses,Artist
1837,Animal #5857,know whether he,186,246.9517052486,Horse,6,Wall,Brown,Polo ranch,Eager,None,Veronica
785,Animal #785,"from our back,",187,246.894211751,Pig,5,Bright,Grey,None,Zombie,None,Veronica
1941,Animal #7919,were lamp oil,188,246.8744455965,Horse,6,Graf,Green,Eddie,Moaning,Lolita,None
1188,Animal #9758,"long working hours,",189,246.6024252774,Horse,6,Graf,Pink,Repressed,Unsure,None,Betty
1932,Animal #9647,with a certain,190,246.4201492925,Horse,6,Camo,Brown glam,Teen,Moaning,None,Britpop
848,Animal #848,Beasts of England,191,245.323324927,Pig,7,Heaven,Pink,Astronaut,Stoned,Lolita,Horns
539,Animal #539,rich and free.,192,244.9254105888,Pig,6,Graf,Green,Writer,Zombie,None,Betty
214,Animal #214,"moment Mollie, the",193,244.0334416977,Pig,7,Woodland,Brown,Winter,Pondering,Warhol,Zeldman
1502,Animal #4550,"imagination, probably traceable",194,243.0165114443,Horse,6,Purple,Grey,Polo ranch,Unsure,None,Betty
1585,Animal #1136,unfailing in their,195,242.1307063638,Horse,6,Stars,Pink,Eddie,Unsure,None,Artist
1379,Animal #7753,Boxer's twelfth birthday,196,241.561981683,Horse,7,Wall,Robot,Military,Considered,Patch,Police
541,Animal #541,"we do? Why,",197,241.0573540622,Pig,7,Purple,Brown,Beatnik,Zombie,Glasses,Elvis
395,Animal #395,he does not,198,240.3009855103,Pig,6,Purple,Grey,Banker,Zombie,Lolita,None
245,Animal #245,"present except Moses,",199,239.7147306145,Pig,6,Rave,Brown,Doctor,Vampire,None,Astronaut
1556,Animal #6297,seemed to the,200,238.6803325106,Horse,7,Purple,Tattoo,Dealer,Happy,Sunglasses,Bowler
821,Animal #821,future time. The,201,237.3061508942,Pig,7,Hell,Brown,Winter,Happy,Robot,Astronaut
1473,Animal #2623,were perpetually fighting,202,236.1014010101,Horse,6,Stars,Brown glam,Beatnik,Kneiving,None,Artist
817,Animal #817,"land and clime,",203,235.8391658555,Pig,6,Purple,Grey,Beatnik,Considered,Robot,None
1435,Animal #8184,side of that,204,234.6433012418,Horse,7,Purple,Grey,Mcqueen,Shifty,Sunglasses,Fisherman
1868,Animal #4888,animals would walk,205,234.1154009459,Horse,6,Bright,Grey glam,Snooker,Yelling,None,Veronica
1005,Animal #3772,puppies whom Napoleon,206,233.2728035114,Horse,7,Wall,Grey glam,Swimmer,Friendly,Sunglasses,Zeldman
1992,Animal #9697,on Animal Farm,207,232.3346668937,Horse,7,Stars,Grey glam,Swimmer,Frustrated,Glasses,Britpop
1558,Animal #8281,"some vast boulder,",208,231.2560211647,Horse,6,Virtual,Grey glam,Beatnik,Manic,None,Veronica
1082,Animal #6997,path on his,209,229.3952252489,Horse,6,Camo,Grey,Beatnik ranch,Cigarette,None,Wayfarer
887,Animal #887,up hurriedly. Everyone,210,228.3202664484,Pig,6,Wall,Brown,Winter,Considered,None,Wayfarer
1329,Animal #5587,was Jones's secret,211,227.9390613884,Horse,6,Purple,Green,Eddie,Menace,None,Artist
176,Animal #176,never laughed. If,212,227.8825756205,Pig,6,Wall,Brown,Winter,Zombie,None,Artist
1106,Animal #2192,were not interested,213,227.7533336438,Horse,6,Sea,Ghost,Fonz,Crazy,None,Britpop
1105,Animal #9898,"course know–for he,",214,227.1294242586,Horse,7,Graf,Ghost,Fonz,Crazy,Cobain,Elvis
1764,Animal #9116,in summer by,215,225.3851392263,Horse,6,Graf,Ghost,Dealer,Eager,None,Zeldman
856,Animal #856,quacked it. They,216,222.8913217299,Pig,7,Woodland,Brown,Doctor,Happy,Warhol,Headphones
292,Animal #292,living. It is,217,222.859221656,Pig,6,Wall,Pink,Banker,Zombie,None,Veronica
279,Animal #279,"a long life,",218,222.6715838797,Pig,7,Graf,Green,Prison,Manic,Monocle,Headphones
