ID,Name,Rank,Rarity_Score,Attributes,Background,Colour Scheme,Exploded?,Metallic Slice Percentage,Number of Cuts,Slice Angle,Slice Colour Weight,Special
2452,SUMO #2452,2562,37.11920171020388,7,Black,Aquaman,Undetonated,84.44%,19,-20°,59.29%,
1224,SUMO #1224,2563,37.117047477662354,7,Black,Captain America,Undetonated,84.44%,19,-20°,47.67%,
1282,SUMO #1282,2564,37.111809628554845,7,Black,Martian Manhunter,Undetonated,25.89%,91,10°,47.67%,
828,SUMO #828,2565,37.11145009490403,7,Black,The Thing,Undetonated,84.44%,91,70°,47.67%,
2244,SUMO #2244,2566,37.10909038567494,7,Reaction Diffusion,Martian Manhunter,Undetonated,84.44%,43,-20°,59.29%,
1662,SUMO #1662,2567,37.10620393259711,7,Reaction Diffusion,Captain America,Undetonated,75.8%,91,30°,20.68%,
1376,SUMO #1376,2568,37.090691799488496,7,Black,Martian Manhunter,Undetonated,42.06%,91,10°,47.15%,
188,SUMO #188,2569,37.08178463717478,7,Black,Captain America,Undetonated,75.8%,19,-20°,39.22%,
334,SUMO #334,2570,37.076187254416446,7,Black,The Thing,Undetonated,75.8%,91,70°,39.22%,
100,SUMO #100,2571,37.05734339761802,7,Black,Martian Manhunter,Undetonated,25.89%,91,10°,47.15%,
