ID,Name,Rank,Rarity_Score,Attributes,color,rarity
203,Bronze (metallic),161,1692.1045751633987,2,#b08d57,standard
204,Bronze yellow,161,1692.1045751633987,2,#737000,standard
205,Brown,161,1692.1045751633987,2,#993300,standard
206,Brown (Crayola),161,1692.1045751633987,2,#af593e,standard
207,Brown (traditional),161,1692.1045751633987,2,#964b00,standard
208,Brown Chocolate,161,1692.1045751633987,2,#5f1933,standard
209,Brown Coffee,161,1692.1045751633987,2,#4a2c2a,standard
210,Brown rat grey (Dobunezumi),161,1692.1045751633987,2,#4b3c39,standard
212,Brown Yellow,161,1692.1045751633987,2,#cc9966,standard
213,Brown-nose,161,1692.1045751633987,2,#6b4423,standard
214,Brunswick green,161,1692.1045751633987,2,#1b4d3e,standard
215,Brushwood-dyed (Fushizome),161,1692.1045751633987,2,#8c5939,standard
216,Bubble gum,161,1692.1045751633987,2,#ffc1cc,standard
218,Bud green,161,1692.1045751633987,2,#7bb661,standard
219,Buff,161,1692.1045751633987,2,#f0dc82,standard
220,Bulgarian rose,161,1692.1045751633987,2,#480607,standard
221,Burgundy,161,1692.1045751633987,2,#800020,standard
222,Burlywood,161,1692.1045751633987,2,#deb887,standard
223,Burnished brown,161,1692.1045751633987,2,#a17a74,standard
224,Burnt orange,161,1692.1045751633987,2,#cc5500,standard
225,Burnt sienna,161,1692.1045751633987,2,#e97451,standard
226,Burnt umber,161,1692.1045751633987,2,#8a3324,standard
227,Button blue,161,1692.1045751633987,2,#24a0ed,standard
229,Byzantium,161,1692.1045751633987,2,#702963,standard
230,Cadet,161,1692.1045751633987,2,#536872,standard
231,Cadet blue,161,1692.1045751633987,2,#5f9ea0,standard
232,Cadet blue (Crayola),161,1692.1045751633987,2,#a9b2c3,standard
233,Cadet grey,161,1692.1045751633987,2,#91a3b0,standard
234,Cadmium blue,161,1692.1045751633987,2,#0a1195,standard
235,Cadmium green,161,1692.1045751633987,2,#006b3c,standard
236,Cadmium orange,161,1692.1045751633987,2,#ed872d,standard
237,Cadmium purple,161,1692.1045751633987,2,#b60c26,standard
238,Cadmium red,161,1692.1045751633987,2,#e30022,standard
239,Cadmium violet,161,1692.1045751633987,2,#7f3e98,standard
240,Cadmium yellow,161,1692.1045751633987,2,#fff600,standard
241,Café au lait,161,1692.1045751633987,2,#a67b5b,standard
242,Café noir,161,1692.1045751633987,2,#4b3621,standard
243,Cal Poly Pomona green,161,1692.1045751633987,2,#1e4d2b,standard
244,Calamansi,161,1692.1045751633987,2,#fcffa4,standard
245,Cambridge blue,161,1692.1045751633987,2,#a3c1ad,standard
247,Cameo pink,161,1692.1045751633987,2,#efbbcc,standard
248,Camouflage green,161,1692.1045751633987,2,#78866b,standard
249,Canary,161,1692.1045751633987,2,#ffff99,standard
250,Canary yellow,161,1692.1045751633987,2,#ffef00,standard
252,Candy pink,161,1692.1045751633987,2,#e4717a,standard
