ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Body Material,Energy,Flyer,Head,Left Arm,Right Arm
963,Unibot #963,405,73.63295177677668,8,New Mexico,Synthetic Heart,Silver,Hydraulic,No,Fish Tank,A004,A004
956,Unibot #956,406,73.55350997587956,8,Caracas,Drying machine,Silver,Geothermal,No,Queen Bee,A009,A009
84,Unibot #84,407,73.54999965891321,8,Paris,Suit,Silver,Solar,No,Queen Bee,A009,A009
982,Unibot #982,408,73.50677711908153,8,Edo,Car Jack,Silver,Wind,No,Jaw,A001,A001
612,Unibot #612,409,73.48624476785066,8,Granada,Suit,Silver,Biodiesel,No,IG-11,A008,A008
158,Unibot #158,410,73.48556664455768,8,Athens,Mustang Engine,Silver,Solar,No,Broken Screen,A008,A008
694,Unibot #694,411,73.45548191074418,8,Buenos Aires,Candy Machine,Silver,Hydraulic,No,Jaw,A002,A002
416,Unibot #416,412,73.44941925968845,8,New Mexico,Mustang Engine,Silver,Solar,No,Googles,A009,A009
342,Unibot #342,413,73.43423806198342,8,Paris,Armor 02,Gold,Hydraulic,No,Electric Rocket,A006,A006
13,Unibot #13,414,73.41636306321755,8,Delphi,Synthetic Heart,Silver,Solar,No,Screen,A009,A009
771,Unibot #771,415,73.38580814767224,8,Edo,Drying machine,Silver,Hydraulic,No,Queen Bee,A009,A009
936,Unibot #936,416,73.3696523543018,8,Carthage,Armor 02,Silver,Solar,No,Screen,A001,A001
900,Unibot #900,417,73.36592997942373,8,Carthage,Mustang Engine,Silver,Biodiesel,No,Screen,A002,A002
67,Unibot #67,418,73.36367794851525,8,Delphi,Armor 04,Silver,Solar,No,Bee,A001,A001
519,Unibot #519,419,73.35873618133436,8,Paris,Car Jack,Silver,Solar,No,Fish Tank,A004,A004
398,Unibot #398,420,73.31961418751254,8,Sahara,Synthetic Heart,Silver,Geothermal,No,Open Helmet,A006,A006
973,Unibot #973,421,73.31596093466659,8,Granada,Mustang Engine,Silver,Wind,No,Rocket,A006,A006
