ID,Name,Rank,Rarity_Score,Attributes,BG Overlay 1,BG Overlay 2,Background,Ears,Extras,Eyes,Hat,Head,Head Detail,Mouth,Nose,Title
134,Inkspunk #134,639,235.51360033872413,12,New Day,Tundra,Newsprint 01,Ear 4,Wagmi,Twenty,Anarchy,Red,Shadow,Vampire,Crooked,Logo 6
46,Inkspunk #46,640,235.37073750829506,12,Coagulated,Hot Sauce,Newsprint 07,Ear 9,Death,Blue,Sabrina,Grey,Fuchsia Bleed,Hungry,Lodovico,Logo 5
934,Inkspunk #934,641,235.34139229926743,12,Blood Wash,Pepper,Newsprint 12,Ear 8,Frazzled,Fuchsia,Tattooed,Skull,Spawn,Snarl,Bloody,Logo 7
801,Inkspunk #801,642,235.27717193230544,12,Dawn,Frosty,Newsprint 12,Ear 9,Rise Up,Sprayed,Dominator,Grey,Black And White,Saw Tooth,Needle,Logo 7
812,Inkspunk #812,643,235.2108831019617,12,Hades,Frozen,Newsprint 08,Ear 5,Manic,Afraid,Basqunks,Rage,Scowl,Sick,Surly,Logo 5
639,Inkspunk #639,644,235.1972707923499,12,Bright Spot,Too Hot,Newsprint 08,Ear 3,Manic,Incensed,Black Hat,Bleached,Fuchsia Bleed,Sick,Long,Logo 1
674,Inkspunk #674,645,235.14634421309495,12,Hades,Hot Sauce,Newsprint 08,Ear 1,Pharoah,Twenty,Autumn,Bleached,Fuchsia Ghost,Shout,Needle,Logo 3
600,Inkspunk #600,646,235.138482829618,12,Coagulated,Spearmint,Newsprint 02,Ear 9,Lies,Smoke,Tourist,Splattered,Black And White,Snarl,Broken,Logo 8
125,Inkspunk #125,647,235.12524224631048,12,Scratches,Candy Floss,Newsprint 08,Ear 5,Bullet,Yellow,Transcendence,Grey,Shadow,Vampire,Surly,Logo 5
802,Inkspunk #802,648,235.0832435402446,12,New Day,Candy,Newsprint 04,Ear 8,Defi,Cavernous,Pinkhawk,Markt,Fuchsia Skull,Shout,Faded,Logo 3
107,Inkspunk #107,649,235.05479130789078,12,Tsunami,Hot Sauce,Newsprint 04,Ear 3,Wake Up,Cavernous,Storm,Red,Heated,Sick,Long,Logo 3
281,Inkspunk #281,650,235.05448454710148,12,Blood Wash,Peppermint,Newsprint 03,Ear 8,Sleeping,Fuchsia,Transcendence,Markt,Splats,Bearded,Bloody,Logo 2
456,Inkspunk #456,651,235.04285237264244,12,New Day,Frosty,Newsprint 07,Ear 6,Bullet,Fuchsia,Thorns,Indigo,Fuchsia Ghost,Rotted,Long,Logo 1
323,Inkspunk #323,652,235.03858750276873,12,Coagulated,Frozen,Newsprint 11,Ear 3,Wake Up,Ready,Thorns,Rheinische,Spawn,Vampire,Surly,Logo 6
654,Inkspunk #654,653,235.0346885451384,12,Tsunami,Candy Floss,Newsprint 10,Ear 7,Manic,Afraid,Traveller,Bleached,Evil,Confused,Papermache,Logo 8
400,Inkspunk #400,654,234.98277602147283,12,Dawn,Frozen,Newsprint 10,Ear 2,Data,Relaxed,Night King,Splattered,Cyber Skull,Bearded,Bandaged,Logo 7
481,Inkspunk #481,655,234.96266262079845,12,Coagulated,Gummi,Newsprint 06,Ear 3,Rise Up,Ready,Sabrina,Rheinische,Spawn,Renaissance,Needle,Logo 8
426,Inkspunk #426,656,234.82689955107548,12,Scratches,Too Hot,Newsprint 12,Ear 5,Frazzled,Old Timer,Sabrina,Murdered,Fuchsia Bleed,Boney,Surly,Logo 1
57,Inkspunk #57,657,234.79442350546267,12,Hades,Sriracha,Newsprint 12,Ear 10,Death,Graffiti,Attention,Washed,Old Time,Sick,Surly,Logo 3
533,Inkspunk #533,658,234.74985087730263,12,New Day,Hubba,Newsprint 02,Ear 1,Wagmi,Hexed,Tourist,Markt,Scowl,Growl,Pinched,Logo 2
425,Inkspunk #425,659,234.6686545866918,12,Blood Wash,Icing,Newsprint 13,Ear 10,Watching,Graphic,Night King,Headlines,Ultra Violence,Grillz,Surly,Logo 2
866,Inkspunk #866,660,234.59426169101073,12,Power Struggle,Gummi,Newsprint 04,Ear 2,Bullet,Ready,Onelove,Rage,Old Time,Growl,Crooked,Logo 6
229,Inkspunk #229,661,234.5921390735248,12,Coagulated,Too Hot,Newsprint 13,Ear 10,Crowned,Alert,Magician,Murdered,Cyber Skull,Saw Tooth,Pinched,Logo 3
703,Inkspunk #703,662,234.5106964747072,12,Hades,Frosty,Newsprint 05,Ear 8,Death,Death,Tourist,Bleached,White Spray,Vampire,Surly,Logo 3
952,Inkspunk #952,663,234.44944328716758,12,Tsunami,Candy Floss,Newsprint 03,Ear 1,Watching,Furious,Straw Spikes,Indigo,Washed,Fear,Tipsy,Logo 7
357,Inkspunk #357,664,234.40304869228027,12,Hades,Sriracha,Newsprint 12,Ear 9,Crowned,Relaxed,Tilley,Rage,Ultra Violence,Saw Tooth,Crypt,Logo 7
343,Inkspunk #343,665,234.36547024095887,12,Coagulated,Bubblegum,Newsprint 06,Ear 6,Defi,Alert,Attention,Splattered,Black And White,Growl,Needle,Logo 6
985,Inkspunk #985,666,234.36048056782107,12,New Day,Icing,Newsprint 08,Ear 10,Freedom,Furious,Straw Spikes,Indigo,Cold,Renaissance,Faded,Logo 2
82,Inkspunk #82,667,234.36013940447148,12,Tsunami,Too Hot,Newsprint 07,Ear 7,Death,Annoyed,Snoop,Skull,White Outline,Growl,Papermache,Logo 4
773,Inkspunk #773,668,234.1592256530495,12,New Day,Peppermint,Newsprint 05,Ear 2,Frazzled,Ready,Onelove,Rheinische,White Spray,Confused,Pinched,Logo 7
47,Inkspunk #47,669,234.1011880827552,12,Bright Spot,Candy Floss,Newsprint 09,Ear 11,Lies,Suspicious,Player,Blue,Spawn,Confused,Faded,Logo 8
492,Inkspunk #492,670,234.08160301844788,12,Hades,Peppermint,Newsprint 13,Ear 6,Animals,Demon,Transcendence,Washed,Scowl,Confused,Blue,Logo 2
664,Inkspunk #664,671,234.0384865383056,12,New Day,Bubblegum,Newsprint 06,Ear 4,Power,Yellow,Tourist,Grey,White Spray,Hungry,Tipsy,Logo 3
749,Inkspunk #749,672,233.98026750941085,12,Splattered,Bubblegum,Newsprint 01,Ear 8,Defi,Demon,Black Hat,Liberty,Cyber Skull,Bearded,Long,Logo 2
