ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Clothes,Eyes,Hat,Legendary,Mouths
2339,BatBits #2339,233,129.17468473267076,6,Yellow,Blue,Mime,Single Lashes,Short Blonde,,Wide Sad Lip
1429,BatBits #1429,234,129.10273921864783,6,Yellow,Pink,Wired,Bored,2Pac Yellow,,Chob Lip
1983,BatBits #1983,235,129.09565070970453,6,Blue,White,Patch,Bored,Flower,,Disappointed Lip
718,BatBits #718,236,128.99918480446368,6,Yellow,Blue,Mime,Simple Lashes,Buckethat,,Disappointed Lip
1305,BatBits #1305,237,128.92872342375293,6,Orange,Orange,Tie,Hearts Lashes,Flower,,Straight Lip
2968,BatBits #2968,238,128.8101696919922,6,Sky,Sky,Yellow Hoodie,Bored Lashes,More Weird,,Tongue
2747,BatBits #2747,239,128.6875313610171,6,Toxic,Green,Tie,Smiley Lashes,Weird,,Sad Lip
2106,BatBits #2106,240,128.56204065392603,6,Love,Red,Patch,Simple Lashes,Tophat,,Sad
393,BatBits #393,241,128.30463136772244,6,Sky,Red,Wired,Glasses,Short Black,,Wide Smile Lip
787,BatBits #787,242,128.24504449356328,6,Sunrise,Pink,Yellow Skirt,Dollar,Bandana Yellow,,Sad
2295,BatBits #2295,243,128.05935502805545,6,Blue,Red,Mime,Sunglasses,Short Blonde,,Derp
2522,BatBits #2522,244,128.01099017499612,6,Yellow,Green,Bluestar,Glasses,Batbit Hat,,Disappointed
1950,BatBits #1950,245,128.00989656763892,6,Orange,White,Ninja,Dollar Lashes,Buckethat,,Derp
1001,BatBits #1001,246,127.87785898530156,6,Blue,Yellow,Gladiator,Simple,Arrow,,Smile
268,BatBits #268,247,127.64738753034422,6,Love,Black,Gladiator,Simple,Party,,Tongue
1337,BatBits #1337,248,127.42932359574357,6,Purple,Purple,Ladybug,Bored,Bandana Black,,Scar
2280,BatBits #2280,249,127.19491167560079,6,Purple,White,Jacket,Bored,Tophat,,Straight
1812,BatBits #1812,250,127.13249658642388,6,Love,Red,Crewneck,Rip,Viking,,Wide Sad Lip
