ID,Name,Rank,Rarity_Score,Accessory,Attributes,Background,Clothes,Eyes,Head,Legendary,Mouth,Skin,Tattoo
142,SadPython #142,405,127.43066000995093,Strike,7,Cemento,Dale,Sceptic,Chocohaircut,,Mouth 2,Green,
582,SadPython #582,406,127.32816550089557,Dope,6,Misty,Jaunes,Crying,,,Mouth 10,Green,
1840,SadPython #1840,407,127.27824417436481,Fishrode,6,Cemento,Tatoes,Sorry,,,Mouth 6,Ruby,
1352,SadPython #1352,408,127.13607366585174,Dope,7,95S,Tatoes,Distracted,Pylice,,Mouth 15,Cyan,
2784,SadPython #2784,409,127.08825653765363,,7,Myday,Sweater,Energetic,Chocohaircut,,Mouth 4,Amarillo,Tezos
2309,SadPython #2309,410,126.85656042094446,Ledger,7,95S,Rocknrolla,Sorry,Pylice,,Mouth 3,Pinky,
106,SadPython #106,411,126.74203251550479,Nitrilglove,6,Dark,Tommy,Shocked,,,Mouth 12,Amarillo,
506,SadPython #506,412,126.73514525201205,Egg,7,95S,Deliveryboy,Closed,Chocohaircut,,Mouth 6,Amarillo,
580,SadPython #580,413,126.72060069625826,Alienblaster,6,Misty,Office,Lament,,,Mouth 2,Green,
123,SadPython #123,414,126.63169884929103,,6,Cemento,Firefight,Energetic,Starducks,,Mouth 8,Honeycheese,
58,SadPython #58,415,126.4932138018233,,6,Cemento,Prisoner,Painful,Dora,,Mouth 6,Ruby,
204,SadPython #204,416,126.4902892207607,Palm,6,Myday,Redshirt,Crying,,,Mouth 6,Ultramar,
3265,SadPython #3265,417,126.41200299792641,,5,Cemento,Dungeonmaster,Distracted,,,Mouth 13,Violet,
521,SadPython #521,418,126.28592811483941,Egg,7,Dark,Starducks,Lament,Pylice,,Mouth 12,Stone,
2375,SadPython #2375,419,126.27821439539456,,6,95S,Pylice,Distracted,Pylice,,Mouth 3,Amarillo,
2724,SadPython #2724,420,126.06268670957063,Calc,7,Myday,Casual,Shocked,,,Mouth 7,Honeycheese,Solana
1106,SadPython #1106,421,125.76304412241008,Calc,6,Cemento,Mets,Dead,,,Mouth 15,Honeycheese,
3221,SadPython #3221,422,125.72626822227078,Iwatch,7,Cemento,Tatoes,Painful,French,,Mouth 7,Pinky,
36,SadPython #36,423,125.7068836173476,Cigarettes,7,Cemento,Tatoes,Shocked,Peasant,,Mouth 11,Ultramar,
2977,SadPython #2977,424,125.70474072402045,Alienblaster,6,Dark,Dale,Shocked,,,Mouth 4,Honeycheese,
1476,SadPython #1476,425,125.69260077557031,Egg,7,Misty,Pyman,Dazed,Windy,,Mouth 4,Green,
748,SadPython #748,426,125.60479820766516,,7,Cemento,Rocknrolla,Dazed,Starducks,,Mouth 4,Pinky,Bitcoin
2027,SadPython #2027,427,125.47958148659559,,6,Misty,Firefight,Dazed,Fishman,,Mouth 7,Ruby,
2034,SadPython #2034,428,125.47945679278416,,6,Cemento,Astro,Shocked,Peasant,,Mouth 9,Charcoal,
3118,SadPython #3118,429,125.39073521884755,Pypotion,6,Myday,Chester,Distracted,,,Mouth 9,Honeycheese,
384,SadPython #384,430,125.30868631288159,Palm,6,Myday,Tatoes,Sorry,,,Mouth 8,Ruby,
403,SadPython #403,431,125.13568206321237,Razorblade,6,Myday,Pyman,Crying,,,Mouth 5,Ultramar,
1133,SadPython #1133,432,124.9723857882576,Dope,7,Dark,Tatoes,Energetic,Chocohaircut,,Mouth 10,Green,
865,SadPython #865,433,124.80401316847582,Herrig,6,Cemento,Redshirt,Sceptic,,,Mouth 8,Stone,
1590,SadPython #1590,434,124.73761329935502,,6,Misty,Dale,Sorry,Xtzblu,,Mouth 8,Ultramar,
3367,SadPython #3367,435,124.70955948082678,Knife,7,Myday,Mets,Lament,Firefighter,,Mouth 12,Amarillo,
2357,SadPython #2357,436,124.67402484688472,Phone,7,Cemento,Casual,Dazed,,,Mouth 3,Violet,Bitcoin
498,SadPython #498,437,124.59108359375819,,6,95S,Tatoes,Distracted,Livingstone,,Mouth 8,Ultramar,
1821,SadPython #1821,438,124.3632606434819,Knife,6,Dark,Bag,Sorry,,,Mouth 12,Charcoal,
783,SadPython #783,439,124.35845656949657,Palm,6,Cemento,Mets,Sorry,,,Mouth 5,Violet,
3399,SadPython #3399,440,124.16909831884418,Dope,7,Myday,Starducks,Sorry,,,Mouth 2,Pinky,Solana
105,SadPython #105,441,123.98400841401681,,6,Misty,Jaunes,Energetic,Jokage,,Mouth 14,Violet,
5,SadPython #5,442,123.97541544135687,,6,Myday,Astro,Lament,Rider,,Mouth 8,Ruby,
2832,SadPython #2832,443,123.96080503230111,Phone,7,Myday,Prisoner,Sorry,Firefighter,,Mouth 10,Stone,
3235,SadPython #3235,444,123.96039309195257,Tnt,7,Myday,Tommy,Distracted,Peasant,,Mouth 13,Stone,
1847,SadPython #1847,445,123.74243628895117,Phone,7,Cemento,Office,Shocked,Lordofwar,,Mouth 5,Ultramar,
3245,SadPython #3245,446,123.71885613383098,Zubenyakov,7,95S,Office,Dead,Lordofwar,,Mouth 5,Charcoal,
2959,SadPython #2959,447,123.70913595989386,Enzyme,6,95S,Rocknrolla,Dazed,,,Mouth 10,Amarillo,
286,SadPython #286,448,123.68565313471494,Enzyme,6,Dark,Redshirt,Sceptic,,,Mouth 1,Green,
1836,SadPython #1836,449,123.60351971711522,Gun,7,Dark,Sweater,Energetic,Dora,,Mouth 4,Violet,
675,SadPython #675,450,123.47446894450123,Pypotion,6,Myday,Marty,Distracted,,,Mouth 4,Charcoal,
3402,SadPython #3402,451,123.42454455764762,,6,Misty,Tommy,Crying,Mrsdavis,,Mouth 9,Pinky,
132,SadPython #132,452,123.41532755434413,Alienblaster,6,Cemento,Tatoes,Distracted,,,Mouth 9,Honeycheese,
