ID,Name,Rank,Rarity_Score,Angle Mod-Scores,Attributes-Scores,Center Effect-Scores,Circles Amount-Scores,Color Blink-Scores,Color Changes-Scores,Distribution-Scores,Inks-Scores,Inks Count-Scores,Noise Amp-Scores,Noise Animation-Scores,Noise Frequency-Scores
792863,Plottable Field (8 frames) #140,187,109.62140074134747,25,2,1,1,1,1,4,21,1,2,44,3
919379,Plottable Field (8 frames) #252,188,109.10605384457561,1,2,1,1,1,1,33,57,2,2,3,1
895766,Plottable Field (8 frames) #209,189,109.07221654285753,1,2,1,1,1,1,20,66,1,2,6,3
768636,Plottable Field (8 frames) #60,190,108.59179675968294,66,2,1,1,1,1,4,21,1,2,3,1
831686,Plottable Field (8 frames) #156,191,108.32352079416178,1,2,1,1,1,1,4,66,1,2,6,18
895762,Plottable Field (8 frames) #208,192,108.07830404537762,1,2,1,12,1,1,11,66,2,2,3,1
921663,Plottable Field (8 frames) #266,193,107.7386833918578,1,2,1,1,1,1,26,26,1,2,40,1
772429,Plottable Field (8 frames) #92,194,107.38888212740389,1,2,1,1,1,1,25,57,2,8,3,1
895885,Plottable Field (8 frames) #214,195,107.23510847775985,1,2,1,26,1,1,33,26,1,2,7,1
1128608,Plottable Field (8 frames) #369,196,107.15055144607078,1,2,1,12,1,1,11,66,1,2,3,1
867334,Plottable Field (8 frames) #165,197,106.99229347007075,30,2,1,1,1,1,12,44,1,2,6,1
921647,Plottable Field (8 frames) #262,198,106.57419308954648,1,2,1,26,1,1,33,23,2,2,7,3
921643,Plottable Field (8 frames) #260,199,106.02880480514636,1,2,1,1,1,1,4,80,2,2,6,1
769101,Plottable Field (8 frames) #65,200,105.61052852785389,1,2,1,1,1,1,57,26,1,2,7,1
774691,Plottable Field (8 frames) #101,201,105.14826116728926,1,36,1,1,1,1,14,9,1,2,16,18
1131798,Plottable Field (8 frames) #392,202,104.93260179510713,30,6,1,12,1,1,11,26,1,2,6,3
879977,Plottable Field (8 frames) #185,203,104.83107311425213,1,2,1,1,1,1,14,66,1,2,7,3
891322,Plottable Field (8 frames) #204,204,103.58279526218544,30,2,1,1,1,1,33,20,1,2,6,1
788560,Plottable Field (8 frames) #124,205,103.56600622485458,25,2,12,1,1,1,9,26,1,2,16,3
995535,Plottable Field (8 frames) #290,206,102.58716824034266,1,2,1,1,1,1,20,50,1,2,18,1
777290,Plottable Field (8 frames) #107,207,101.59006093441502,1,2,1,26,1,1,11,9,1,2,40,3
998406,Plottable Field (8 frames) #309,208,100.61289362031768,25,2,1,1,1,1,30,26,1,2,3,3
1131811,Plottable Field (8 frames) #399,209,100.59582624900065,1,36,1,1,1,1,9,26,1,2,16,1
770214,Plottable Field (8 frames) #80,210,100.17976083293524,1,2,1,1,1,1,14,26,1,2,44,1
