ID,Name,Rank,Rarity_Score,Attributes,Composition,High weight brush,Palette,Style,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1156819,Flustels #46,31,45.096799375487905,4,Composition #3,False,Palette #4,Style #7,QmcKUmzhf6NFMPqwTWHckgWWzuPMAM2coqW9urLoxMaGqT,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oo2AuimPuetYj3PdwoUd8dFuNrngFwAFeyJtswZLNkwxNZ9E1G2,ipfs://QmQDxQ5Q3W5Qnae1mJYhoBu5VPQndxLhzkTbfFkK5bbNzT,ipfs://QmXru7JDu25kD5z9kUM2GKSeSKUHTrUZFARHPiceQHjXoH
1157168,Flustels #60,31,45.096799375487905,4,Composition #3,False,Palette #15,Style #9,QmVySzU2W6nGqVQJoL61AnPVfXZECCjUETv2ZYpkkbvLCv,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opC9yeCKWZ1fckRWRLDFB3iGb2i7eZMoXXsjsr9Yj3egumfgo1p,ipfs://QmbdJRn1bCLotNyszkvPA8s3uNZqbuA3sdrgn3ZwTZ5NCc,ipfs://QmUrJxgUeP1ddM5vGEgjvnjpEitcrXPLZ3gi5Cdk78raW4
1157208,Flustels #79,33,44.792037470726,4,Composition #1,False,Palette #21,Style #9,QmdXFjjJENLeaWWDLrcozQG7WknCLoKHvufHyAWZQGGt3C,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=op9hZ4qFbKmWc1hm7qsouqUFjcmx5eWaDy82YzcGfhTm8UcwW4p,ipfs://QmbkZvGqz6aA4V3BSpWJijnqu4R1eeRJQFWtcrcR5rBm6M,ipfs://Qmbm5c6Gjnru42FjMGuhvhC2wuFgn7K1F6EEZ9o2Efae9m
1156652,Flustels #29,34,44.62621114019379,4,Composition #3,False,Palette #4,Style #2,QmbRQUJesT2so7nmiypMJgqBdmx9cDKFBZkXduSZsW9QAc,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=onrSvKCRmimAx3xnbQqADzArYenyBKJGbujxZNPpoUNTB9uaumh,ipfs://QmbzP5FEdfz4FbiPdWU8NJdh26C23KomCXcztVPeQmvkY2,ipfs://QmXZDiqHDaBtUo1YPfq4DWP2JLHEU5HGKLdiXZpXEAwgiY
1156816,Flustels #45,35,42.31584699453552,4,Composition #4,False,Palette #17,Style #3,QmQgmgFsaDqNXt5ys15pVWz7W2SpQfLAvwZS38LFQqM5yj,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ootnRsbmALmjUxw8692mZHZAPQvzi7wKNfGYyenDM2brCfN7wdx,ipfs://QmePsF446BvsQiKdX3BT9Y9yvPUbP9W4BJzWYcFNzUV1SL,ipfs://QmNkuEbrE2bzNuTamt7f9TXWhT1MX3b7NqMSpz1Kaj83kF
1157026,Flustels #50,35,42.31584699453552,4,Composition #4,False,Palette #21,Style #6,QmQWUZFbBhL8HComA4REDtBgM9eMk4w8bxnTc53tGFqb1U,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opQkS2qpkRZDMRrbn2LyeGpRx44vWUktiNdNDgTLhszaNxkbnno,ipfs://QmaQiMrm37hC2VB5N6WMJLMQL65d9rwVcsnsTng4hxZvxF,ipfs://QmXbMBph2mgBGgmwstDYxbpaXDrWteGe6ghNWPjHkiytyP
1156654,Flustels #30,37,41.36346604215457,4,Composition #3,False,Palette #7,Style #3,QmX3Vxv6vgv9rM2gWUTz1GFNaLS86mVeeiAHtZHyjwfxD1,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opWATDCbM5XQps365iiTnmGsxEWdRnvcYncza8CLbSR2qVNHFQr,ipfs://QmazW262PFss2SPv3EQeQMVnzBUwPUPVDBm42nJmzrPwTH,ipfs://QmSZXhrDEbemPmZGJncWsnMsJARpGr6e5kZzoRMMoZNVWt
1157266,Flustels #108,37,41.36346604215457,4,Composition #3,False,Palette #1,Style #6,QmVhrCAeqY8HYhLMizzdq9xDafPnkebGhDvTsv9jsVduz3,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oohS9tAq2WxmjLMAJrJQWQngnd5VD7N8RdGBrs8Rz7znfGHqj4n,ipfs://QmXroCVM4kkAHz9YaztuNbMikWTs66sTxBDboYHNkMFuMQ,ipfs://QmfAKYvvcfZJ1Keu5isKkKhM3WRZpSj8au5zBvWV6sm8XU
1157253,Flustels #98,39,40.792037470726,4,Composition #4,False,Palette #17,Style #1,QmTfLnB3aRjVWZ5bPdzqhsw6RYA3rPMHPRuBW3LzXm1MhZ,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=onqGuwJU9kjyNzWgciCkZ4cTPiR4ypEZxsDY4NW2rFZfGN5i7rY,ipfs://QmVcAXh3ph8yHK6E15ZKQgND3SRYNFzXQdHJg8DkFfwfZx,ipfs://QmdRFrs1C8u7HuWifKUyAi7fRfbsbUZuq7rJJcpKCayS8a
1155253,Flustels #3,40,39.83965651834505,4,Composition #3,False,Palette #1,Style #1,QmQ7M1GRnGUiN79iV5jeHY1foPJjeCvNJsqCxARAWbGTxB,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oo9HCUmsexowfBKCqV1CequmyNSnAgewwdCG3Gw2J1Rt43up1k4,ipfs://QmZvGpsC5ZDEMYX4S6uaJyqfiGg7pDzWdbFWiGzN4Eap7r,ipfs://QmPHdyVUMJEr6YKT3yekd3jNCzHi9pEFLNtX8QketEf6Jt
