ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window
1168043,BRUTALIST MOVEMENT #40,235,30.487887184756765,7,6,Tall,Signature,Black,Blue,White,Red
1168223,BRUTALIST MOVEMENT #217,235,30.487887184756765,7,6,Tall,Signature,Black,Blue,White,Red
1168024,BRUTALIST MOVEMENT #21,237,30.307944083761033,7,5,Tall,Signature,Black,Blue,White,Red
1168025,BRUTALIST MOVEMENT #22,237,30.307944083761033,7,5,Tall,Signature,Black,Blue,White,Red
1168061,BRUTALIST MOVEMENT #58,237,30.307944083761033,7,5,Tall,Signature,Black,Blue,White,Red
1168193,BRUTALIST MOVEMENT #188,237,30.307944083761033,7,5,Tall,Signature,Black,Blue,White,Red
1168379,BRUTALIST MOVEMENT #245,237,30.307944083761033,7,5,Tall,Signature,Black,Blue,White,Red
1169873,BRUTALIST MOVEMENT #253,237,30.307944083761033,7,5,Tall,Signature,Black,Blue,White,Red
1168232,BRUTALIST MOVEMENT #223,243,30.137228834098416,7,8,Tall,Signature,Black,Blue,White,Red
1168038,BRUTALIST MOVEMENT #35,244,29.400049346918927,7,4,Tall,Signature,Black,Blue,White,Red
1168040,BRUTALIST MOVEMENT #37,244,29.400049346918927,7,4,Tall,Signature,Black,Blue,White,Red
1168069,BRUTALIST MOVEMENT #66,244,29.400049346918927,7,4,Tall,Signature,Black,Blue,White,Red
1168219,BRUTALIST MOVEMENT #214,244,29.400049346918927,7,4,Tall,Signature,Black,Blue,White,Red
1168126,BRUTALIST MOVEMENT #122,248,29.150049346918927,7,7,Tall,Signature,Black,Blue,White,Red
1168130,BRUTALIST MOVEMENT #126,248,29.150049346918927,7,7,Tall,Signature,Black,Blue,White,Red
1168337,BRUTALIST MOVEMENT #241,248,29.150049346918927,7,7,Tall,Signature,Black,Blue,White,Red
1168016,BRUTALIST MOVEMENT #13,251,28.813314653041378,7,3,Tall,Signature,Black,Blue,White,Red
1168021,BRUTALIST MOVEMENT #18,251,28.813314653041378,7,3,Tall,Signature,Black,Blue,White,Red
1168077,BRUTALIST MOVEMENT #74,251,28.813314653041378,7,3,Tall,Signature,Black,Blue,White,Red
