ID,Name,Rank,Rarity_Score,Acid,Attributes,Background color,Bubbles?,Color palette,Color variation,Deposit,Discrete division,Discrete turns,Displacement level (0-9),Division angle,Division chances,How are you?,Inverted,Mutation,Pointillism,Spike level (0-9),Stripe level (0-9),Termination chances,Termination threshold,Tinge palette,Turn,You smell,Your hotness 1-10,can I touch the bubble?,ooOo0ooOO?,ooh?,oooh?,you are,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
3427,FXHASH Logo with Features #176,35,100.08329650731088,False,13,None,None,None,very low,low,False,False,None,very low,very high,None,False,high,False,None,None,high,high,None,very high,None,None,None,None,None,None,None,QmXbYVksuQC1tKbtgy9TCWnCfVFCwCiEDwiTPyukCPKCyH,ipfs://QmaibgGECPxLBG4eG5n1hZZMLCUKd79i9XtFw6D91xWYnB,ipfs://QmPWMY6697fEwmJLkP3XbkHdypNdzN16XFdEHVivLsLYFd,ipfs://QmRKqEafnAYMGuYcxRfB5SzeJuDSUes9oFHCeKnnK9q4bV
11187,FXHASH Logo with Features #377,36,100.07322458974994,False,13,None,None,None,low,low,False,True,None,normal,very high,None,False,high,True,None,None,high,very high,None,very low,None,None,None,None,None,None,None,QmdU8jHG5p4tSjLAmcVx8uxcowGQogUerXyAmfEgzSMYK3,ipfs://QmQBTWTBHnDDenabQZMXM449CMrLZk3fLbeLH1nVbVUpwc,ipfs://QmWS3zua63PVsgS5YSdkdnd3U3T4XCrAL1zyJmMUhQFk9C,ipfs://Qmdbd4uNEfFD9NYWbzLiZzzFDzZ6Lc4ZZshF2HFfJvza34
20042,FXHASH Logo with Features #895,37,100.04585975494389,False,13,None,None,None,very low,very high,False,True,None,normal,high,None,False,very low,False,None,None,very low,low,None,very high,None,None,None,None,None,None,None,QmXyxfq2DN3RTXFvQoT1quN1oE3yVUpE3PVKtk2v15VjCW,ipfs://QmSYsvp8jhcLjiWvBetkYP7WE88QukdyS3cwvP8QQSXa8P,ipfs://Qmc53WakVrsp62MQrCm3YRqAdixWjabveusqiaRR5r9Eq4,ipfs://QmYpsnpmSMAK3BpsMNPAwi27s17F1FKbyssTiCN1LfWwRZ
20420,FXHASH Logo with Features #964,38,100.04329378948317,False,13,None,None,None,very low,very high,True,True,None,very high,low,None,False,normal,False,None,None,low,high,None,very high,None,None,None,None,None,None,None,QmcaNemwqCceeU7wShWhqbbWbjpqRZFQxF1BkLai3rjBuT,ipfs://QmW7bzBRsX7XfDdfar6DRyJSgXCdWfNp7jsoACoez31KRQ,ipfs://QmT5rsWokAwsWFjiZwg4tA3VdzXuqeUEXWj1U1LGs5G9te,ipfs://QmX49RuD78nERVdSrYaLDeukoEYTk3BX9hc3ieYjx6Xy5d
11322,FXHASH Logo with Features #381,39,99.68375094005401,False,13,None,None,None,very low,high,True,True,None,low,normal,None,False,normal,False,None,None,high,high,None,very high,None,None,None,None,None,None,None,QmfNSkeZ6fL5s5ajh4icM4aQEHbxc5GaffZ6GfjdgRpNCD,ipfs://QmUK4cJCAXL8f4hHbr49MQm5D4UbBXvDNiCBnevZgekEre,ipfs://QmVHdjmuJ2BUYsc94myrzkzCbbwTwHp933xTyJ8ogWnTim,ipfs://QmawPux3CNKr2LNohKRX3wUXx1BxaaLjpURUiAwQLRRA1q
1045,FXHASH Logo with Features #88,40,99.67773606561272,False,13,None,None,None,very low,normal,True,False,None,normal,normal,None,False,very low,False,None,None,very low,normal,None,very high,None,None,None,None,None,None,None,QmWqsW4dogkj149psJbJa9SfRp9zW9GevgmmbSY5A8mHag,ipfs://QmS4DfXQgumhHDYFmTxFHv2ZCsMMnKLa1vzcEGXb2DQXEF,ipfs://QmQ5sLgFF8TmeKRboke6u7txuVq6gH9k1kJPD4Az1zNxM3,ipfs://QmdY8RBJZBrXnHqMUDeHvWAFnVm3kSVf5qaY1DtenxpyY5
20309,FXHASH Logo with Features #945,41,99.58033123710956,False,13,None,None,None,very low,very low,False,True,None,high,low,None,False,low,False,None,None,low,very high,None,very high,None,None,None,None,None,None,None,QmYzYCwW3x6QocEZABrbTZjSBa5oDTL4oUjynZdPztRd3h,ipfs://QmUJWH6A7bf6V3NBhQJMu6ApxmkvUAtaEJ7Abe4xqeLcgo,ipfs://QmZU7utVxDyRne24mdAgP9afK5U5ShjGKb3P5pJ3amy2wr,ipfs://QmPkcMQYt7xuBwmTnJt6aQ95ETb19naYEeC6LgSyRsyboT
2712,FXHASH Logo with Features #162,42,99.53753500456796,False,13,None,None,None,very low,normal,True,True,None,very low,high,None,False,normal,False,None,None,normal,very high,None,very high,None,None,None,None,None,None,None,QmXBSka1jZDmLzw7LJKq4nAZxCZxgGyQB3SkikpDEoPXn3,ipfs://QmZHR55zCQGQThjSFVZ5JwcacN2hn4rjaTp5T636mm4X3e,ipfs://QmetUMaXLGR3gCDaJAPjQLu58qTdDsHuwkf786Wc1GV644,ipfs://QmNev3q87BwwLE8P4wMLG4L9AqzcBuCcdRsiW68fwUsrud
454,FXHASH Logo with Features #55,43,99.35185039912497,False,13,None,None,None,very low,normal,True,True,None,high,high,None,False,high,False,None,None,very high,normal,None,very high,None,None,None,None,None,None,None,QmTqrNVb3aqFpct67UDrMSN2bZgRDvQhtW73LVj2YzXDo8,ipfs://QmYv7cSwJNQadCgW1V4GwYMaxpVTVkrz6Ug5YdG8CK2DHG,ipfs://QmY9HnvjV3uG8mpdZF57ULKfV8HHJFYQ3aFxWvxWDbMBwp,ipfs://QmegGuDADgq7YjS92p7zLXePk7tSBoLxRXpZu6fAE1SiBK
13920,FXHASH Logo with Features #445,44,99.27553315302157,False,13,None,None,None,very low,low,True,False,None,normal,very high,None,False,high,False,None,None,normal,low,None,very high,None,None,None,None,None,None,None,QmXbnWuH8HErKWLAbuQxh6yeQv2dRau82SiPGUyMrzGm5z,ipfs://QmVeHF3gUbWVmvQdbDHfd39iALYHPNabQ4JLSfk3b3mMPF,ipfs://QmZLENwefqoQ1QPmixRoVM77fysJ92cWgZyST1BJZSRdYH,ipfs://QmcH3GzC1TzERCQNWSiNituehXQE62taRc1gA9wALE6Bww
15336,FXHASH Logo with Features #493,45,97.71366624197063,False,13,None,None,None,very low,high,True,False,None,very low,low,None,True,very high,True,None,None,very high,very low,None,normal,None,None,None,None,None,None,None,QmW91uneNo8mi7Z5WxtDnwEVjCDDcVpetQmtYE2SGC82X9,ipfs://QmbSuxVPETanxDYHPcEazNURjNE2anCzELLLAZy4ZesW59,ipfs://QmTd4YBVwocB3SXvs1G8KsTT9TP6NM1TU4zXyZm5J99zQi,ipfs://QmeZboRSd9tz2mjbvGzXwpsBWrMTr7rUu6GPzJaSiKPDUn
20094,FXHASH Logo with Features #905,46,95.07258729918429,True,13,None,None,None,low,low,False,False,None,low,normal,None,False,very high,False,None,None,very low,very low,None,low,None,None,None,None,None,None,None,QmXCdXUF9fCqR8RfdmLT3osv3gyBSdbGtG9hMLfWhAKdh9,ipfs://QmTCkiidu8P9czcpL97gGDJDnSZt3FAqeFVCPcMxMkktgr,ipfs://QmWvWHEYXgotBvrJBGWJQNMM1wSi6kja9WDKPuZpr7yxsu,ipfs://QmdZmTPLWUuUSiRN72YnKjW9NLw2feBQdC9GC9wqGvRvVp
